№,Семейство,Утиль,Условие,Усиление,монеты,боеприпасы,карты задания,трофеи,карта арсенала,жетон модуля атаки,ОЦЕНКА награды,усил.: монеты,усил.: боеприпасы,усил.: карты задания,усил.: трофеи,усил.: карта арсенала,усил.: модуль сборки,усил.: модуль атаки,звезда на треке технологий (положить кубик и получить в конце игры ПО),ОЦЕНКА с усилением,Описание
1,Выработка,ЗАГРАДИТЕЛЬНЫЙ ОГОНЬ: твоё уничтоженное здание наносит 1 урон убийце,"Имей на поле два своих добытчика с полной энергией, примыкающих к разным зарождениям",Оба примыкают к большим зарождениям,3,,,,,,3,,,,,,,1,,7,"Имей на поле два своих добытчика с полной энергией, примыкающих к разным зарождениям, — награда 3 монеты. Если оба примыкают к большим зарождениям, условие усилено: жетон модуля атаки. Своё зарождение вырабатывают все, чужое — только те, кто дотянулся."
2,Выработка,ОТХОД: в чужой Бой уведи один свой жетон из атакуемого гекса на один гекс,В ЭТОТ ХОД забери последний келемий с зарождения,ты исчерпал зарождение - оно ушло с поля,3,,,,,,3,,,,,,1,,,7,"В ЭТОТ ХОД забери последний келемий с зарождения — награда 3 монеты. Если ты исчерпал зарождение и оно ушло с поля, условие усилено: жетон модуля сборки. Исчерпанное зарождение приближает конец партии — считай, кому это выгодно."
3,Выработка,ПОГЛОЩЕНИЕ: отбери 1 боеприпас,Имей одновременно ноль монет и ноль боеприпасов,Не имей даже келемий,2,1,,,,,"3,2",,,,1,,,,,"5,25","Имей одновременно ноль монет и ноль боеприпасов — награда 2 монеты и 1 боеприпас. Не имей даже келемий, и условие усилено: 1 трофей. Ва-банк играют только на голом столе."
4,Выработка,АТАКА ОДНИМ ВОЙСКОМ,В ЭТОТ ХОД забери 3 контейнера (добытчиками или войсками),,2,1,,,,,"3,2",,,,,,,,,"3,25",В ЭТОТ ХОД забери 3 контейнера (добытчиками или войсками) — награда 2 монеты и 1 боеприпас. Усиления у карты нет: три контейнера за ход и так работа всей смены. Каждый добытчик в Добыче выбирает одно: келемий или контейнер.
5,Выработка,1 ОБМЕН В НАУКЕ (не трек) ИЛИ 1 ОБМЕН НА РЫНКЕ (не карта),В ЭТОТ ХОД произведи только боеприпасы и ни одного войска,Эти здания - завод и авиабаза,2,,1,,,,"3,6",,,,,1,,,,"7,6","В ЭТОТ ХОД произведи только боеприпасы и ни одного войска — награда 2 монеты и 1 карта задания. Если эти здания - завод и авиабаза, условие усилено: 1 карта арсенала. Ход без единого нового войска — цена полного залпа."
6,Засада,РЕМОНТ ГЕКСА,"Имей 3 своих войска на гексах, где нет твоих зданий",Четыре - и все стоят на разных гексах,2,,1,,,,"3,6",,,,,,1,,,"7,6","Имей два своих войска на гексах, где нет твоих зданий, — награда 2 монеты и 1 карта задания. Если таких войск четыре и все стоят на разных гексах, условие усилено: жетон модуля сборки. Войско без своего здания рядом умрёт первым — зато не даром."
7,Засада,ОТВЕТНЫЙ ОГОНЬ: твоё уничтоженное войско наносит 1 урон убийце,Имей на поле 2 свои вышки на разных гексах (обе не на гексе с ЦУ),Одна из вышек стоит на гексе с жетонами врага,1,2,,,,,"3,4",,,,1,,,,,"7,75","Имей на поле 2 свои вышки на разных гексах, и обе не на гексе с ЦУ, — награда 3 боеприпаса. Если одна из вышек стоит на гексе с жетонами врага, условие усилено: 2 трофея. Вышка не двигается вовсе, поэтому опорный пункт выбирают один раз и навсегда."
8,Засада,ЗАГРАДИТЕЛЬНЫЙ ОГОНЬ: твоё уничтоженное здание наносит 1 урон убийце,"Имей военное здание с войском внутри, по соседству с гексом, где есть жетоны врага",два таких военных здания,1,2,,,,,"3,4",,,,,1,,,,"7,75","Имей военное здание с войском внутри, по соседству с гексом, где есть жетоны врага, — награда 3 боеприпаса. Держи так сразу два войска, и условие усилено: 1 карта арсенала. Гарнизон в здании не виден до первого выстрела."
9,Засада,РИКОШЕТ: атака по твоему жетону переходит на любой другой жетон в том же гексе,"Имей своё войско на гексе, где есть здания врага",Имей на одном таком гексе два своих войска,,3,,,,,"3,6",,,,,1,,,,"7,75","Имей своё войско на гексе, где есть здания врага, — награда 3 боеприпаса. Имей на одном таком гексе два своих войска, и условие усилено: 1 карта арсенала. Двор чужой, а гекс общий: здание закрывает только свои стенки, и войти во двор можно, пока в нём есть свободный сектор."
10,Засада,ОТВЕТНЫЙ ОГОНЬ: твоё уничтоженное войско наносит 1 урон убийце,Имей в запасе 0 войск одного вида,Двух видов,,2,1,,,,4,,,,1,,,,,"8,1","Имей в запасе 0 войск одного вида — награда 2 боеприпаса и 1 карта задания. Если так стоят сразу два рода, условие усилено: 2 трофея. Вывести род целиком значит подставить его целиком: в запасе не осталось никого, кем заменить убитого."
11,Обеспечение,+1 БОЕПРИПАС В ПРИКАЗ НАСТУПЛЕНИЕ,В ЭТОТ ХОД потрать на Рынке келемий двумя разными способами,,1,1,1,,,,"3,8",,,,,,,,,3,В ЭТОТ ХОД воспользуйся двумя разными предложениями Рынка. Награда: 3 монеты. Напечатанные курсы планшета и предложения карты рынка считаются по отдельности. Усиления у карты нет.
12,Обеспечение,АТАКА ОДНИМ ВОЙСКОМ,Дойди до второй ступени хотя бы в одном треке технологий,на двух разных треках,2,,1,,,,"3,6",,,,,,,1,,7,"Дойди до второго шага хотя бы на одном треке технологий — награда 3 монеты. Стой на втором шаге сразу на двух треках, и условие усилено: 1 карта арсенала. Второй шаг — первое место, где трек начинает платить очками."
13,Обеспечение,ЗАКРОМА: +1 БОЕПРИПАС В ПРИКАЗ НАСТУПЛЕНИЕ,В ЭТОТ ХОД потрать в Научном отделе трофеи тремя разными способами,,1,2,,,,,"3,4",,,,,,,,,"3,5","В ЭТОТ ХОД воспользуйся тремя разными предложениями Науки. Награда: 1 монета и 2 боеприпаса. Шаг по треку и каждый обмен трофеев на планшете технологий считаются отдельным предложением; обменов на планшете три, значит три предложения — это ровно все они за один ход. Усиления у карты нет."
14,Обеспечение,АТАКА ОДНИМ ВОЙСКОМ,В ЭТОТ ХОД потрать в Научном отделе трофеи тремя разными способами,,1,0,2,,,,"4,2",,,,,1,,,,"7,2","В ЭТОТ ХОД сдай трофеи на двух разных треках технологий — награда 2 карты задания. На трёх треках условие усилено: 1 карта арсенала. Одно действие Науки берёт сколько угодно разных треков, по шагу на каждом, — но каждый шаг оплачивается трофеями отдельно."
15,Развёртывание,СМЕНА ЭНЕРГИИ ИЛИ СМЕНА МОДУЛЕЙ,"Имей своё здание на гексе, соседнем с гексом со зданием врага",с гексом с ЦУ врага,3,,,,,,3,,,,1,,,,,7,"Имей своё здание на гексе, соседнем с гексом, где стоит ЦУ противника, — награда 3 монеты. Если таких твоих зданий два и стоят они на разных гексах, условие усилено: 2 трофея. Подобраться стройкой к чужому штабу дороже, чем кажется: туда ещё надо дойти, и там по тебе будут бить."
16,Развёртывание,ДВИЖЕНИЕ 2 войсками,"В ЭТОТ ХОД построй свое здание на гексе, соседнем с гексом, где есть войска врага",На том же соседнем гексе есть здание врага,3,,,,,,3,,,,,1,,,,7,"В ЭТОТ ХОД построй своё здание на гексе, соседнем с гексом, где есть войска противника, — награда 3 монеты. Построй его на гексе, соседнем с гексом, где есть здание противника, и условие усилено: 1 карта арсенала. Передовая база строится под огнём — потому и платит."
17,Развёртывание,РАЗЫГРАЙ БОЙ ПЕРЕД ЧУЖИМ БОЕМ,"Все твои здания, требующие энергию, запитаны (не менее 3)",Не менее 4 зданий,3,,,,,,3,,,,,1,,,,7,"Все твои здания, требующие энергию, запитаны, и таких зданий не менее трёх, — награда 3 монеты. Не менее четырёх зданий — условие усилено: 1 карта арсенала. Пустая ячейка ЭНР закрывается монетой только на одно действие — на состояние это не работает."
18,Развёртывание,АТАКА ОДНИМ ВОЙСКОМ,В ЭТОТ ХОД снеси своё здание и построй другое,"Построенное встало на тот же гекс, где стояло снесённое",2,,1,,,,"3,6",,,,1,,,,,"5,6","В ЭТОТ ХОД снеси своё здание и построй другое — награда 2 монеты и 1 карта задания. Если построенное встало на тот же гекс, где стояло снесённое, условие усилено: 1 трофей. Здание не переезжает: его сносят и ставят заново, и обе операции стоят действия."
19,Развёртывание,СМЕНА ЭНЕРГИИ ИЛИ СМЕНА МОДУЛЕЙ,В ЭТОТ ХОД построй 2 здания на разных гексах,3 здания на разных и несоседних между собой гексах,,3,,,,,"3,6",,,,1,,,,,"5,75","В ЭТОТ ХОД построй 2 здания на разных гексах — награда 3 боеприпаса. Построй 3 здания на разных и несоседних между собой гексах, и условие усилено: 1 трофей. Зона стройки растёт от твоих стенок, поэтому разъехаться дороже, чем прирасти."
20,Развёртывание,СМЕНА ЭНЕРГИИ ИЛИ СМЕНА МОДУЛЕЙ,В ЭТОТ ХОД построй 2 здания на разных гексах,оба на расстоянии 3 от ЦУ,3,,,,,,3,,,,,,,1,,8,"В ЭТОТ ХОД построй своё здание на гексе, где стоит войско врага, — награда 4 монеты. Если на этом гексе два и более жетонов врага, условие усилено: 2 трофея. Стройка под чужим стволом — заявка, а не расчёт."
21,Развёртывание,РЕМОНТ ГЕКСА,Имей на двух зданиях - источниках энергии ровно один свободный кубик,На трех источниках энергии,3,,,,,,3,,,,,,,,,8,"Имей на двух зданиях - источниках энергии ровно один свободный кубик — награда 4 монеты. На трёх источниках энергии условие усилено: жетон модуля сборки. Простой кубик лежит на своём источнике, а собрать его обратно стоит гекса в Смене энергии — держать по одному неудобно намеренно."
22,Расплата,ОТВЕТНЫЙ ОГОНЬ: твоё уничтоженное войско наносит 1 урон убийце,Сбрось карту арсенала,,0,0,,,,1,3,,,,,,,,,"7,25","Сбрось карту арсенала — награда 2 монеты и 1 боеприпас и жетон модуля атаки. Карта арсенала стоит места на планшете; иногда выгоднее продать её, чем искать, куда установить."
23,Расплата,ОТХОД: в чужой Бой уведи один свой жетон из атакуемого гекса на один гекс,Сдай в общий запас 3 боеприпаса,,,,,1,,,2,,,,,,,,,"7,6","Сдай в общий запас 2 боеприпаса — награда 2 монеты и 1 карта задания и 1 карта арсенала. Остаться без патронов страшно ровно до тех пор, пока по тебе не начали стрелять."
24,Расплата,СМЕНА ЭНЕРГИИ ИЛИ СМЕНА МОДУЛЕЙ,Верни в запас 2 своих войска с поля,Технику и/или авиацию - и с одного гекса,,3,,,,,"3,6",,,,,,1,,,"7,75","Верни в запас 2 своих войска с поля — награда 3 боеприпаса. Если это техника и/или авиация и оба жетона с одного гекса, условие усилено: жетон модуля сборки. Сданные войска не считаются уничтоженными и трофеями противнику не идут."
25,Расплата,ЗАКРОМА: +1 БОЕПРИПАС В ПРИКАЗ НАСТУПЛЕНИЕ,Сдай два своих неоткрытых контейнера,,1,1,1,,,,"3,8",,,,,,,,,7,"Сдай два своих неоткрытых контейнера — награда 3 монеты и 2 трофея. Контейнер стоит ровно столько, сколько в нём лежит, а лежит в нём неизвестно что."
26,Устранение,РАЗЫГРАЙ БОЙ ПЕРЕД ЧУЖИМ БОЕМ,В ЭТОТ ХОД уничтожь технику или авиацию врага,и еще 2 жетона любого врага,3,,,,,,3,,,,,1,,,,8,"В ЭТОТ ХОД уничтожь технику или авиацию врага — награда 4 монеты. Если снял ещё два любых чужих жетона, условие усилено: карта арсенала. Техника и авиация дороже прочего и стоят дальше от чужих стен: до них ещё надо дотянуться."
