№	семейство	природа	ТРЕБОВАНИЕ	УСИЛЕНИЕ	награда	цена	усиленная награда	верх
1	Выработка	СОСТОЯНИЕ	Имей на поле два своих добытчика с полной энергией, примыкающих к разным зарождениям	Оба примыкают к большим зарождениям	3 монет	3	МОДУЛЬ АТАКИ	Z
2	Выработка	В ЭТОТ ХОД	В ЭТОТ ХОД забери последний келемий с зарождения	ты исчерпал зарождение - оно ушло с поля	3 монет	3	МОДУЛЬ СБОРКИ	D
3	Выработка	СОСТОЯНИЕ	Имей одновременно ноль монет и ноль боеприпасов	Не имей даже келемий	2 монет, 1 БПР	3,25	1 ТРОФЕЙ	T
4	Выработка	В ЭТОТ ХОД	В ЭТОТ ХОД забери 3 контейнера (добытчиками или войсками)	—	2 монет, 1 БПР	3,25	—	T
5	Выработка	В ЭТОТ ХОД	В ЭТОТ ХОД произведи только боеприпасы и ни одного войска	Эти здания - завод и авиабаза	2 монет, 1 карт задания	3,6	АРСЕНАЛ	X
6	Засада	СОСТОЯНИЕ	Имей два своих войска на гексах, где нет твоих зданий.	Четыре - и все стоят на разных гексах	2 монет, 1 карт задания	3,6	МОДУЛЬ СБОРКИ	O
7	Засада	СОСТОЯНИЕ	Имей на поле 2 свои вышки на разных гексах (обе не на гексе с ЦУ)	Одна из вышек стоит на гексе с жетонами врага	3 БПР	3,75	2 ТРОФЕЯ	O
8	Засада	СОСТОЯНИЕ	Имей военное здание с войском внутри, по соседству с гексом, где есть жетоны врага	Держи так сразу два своих войска	3 БПР	3,75	АРСЕНАЛ	Z
9	Засада	СОСТОЯНИЕ	Имей своё войско на гексе, где есть здания врага	Имей на одном таком гексе два своих войска	3 БПР	3,75	АРСЕНАЛ	R
10	Засада	СОСТОЯНИЕ	Имей в запасе 0 войск одного вида	Двух видов	2 БПР, 1 карт задания	4,1	2 ТРОФЕЯ	O
11	Обеспечение	В ЭТОТ ХОД	В ЭТОТ ХОД воспользуйся двумя разными предложениями Рынка	—	3 монет	3	—	A
12	Обеспечение	СОСТОЯНИЕ	Дойди до второго шага хотя бы на одном треке технологий	Стой на втором шаге сразу на двух треках	3 монет	3	АРСЕНАЛ	T
