№	Название	Копий	Редкость	Эффект	Описание
c01	Цинк с патронами	1	обычный	1 боеприпас	Армейский цинк, брошенный при отходе. Заберите 1 боеприпас.
c02	Подсумок	1	обычный	1 боеприпас	Подсумок с уцелевшим снаряжением. Заберите 1 боеприпас.
c03	Оружейная сумка	1	обычный	1 боеприпас	Сумка оружейника, брошенная в спешке. Заберите 1 боеприпас.
c04	Патронный ящик	1	обычный	1 боеприпас	Треснувший ящик с остатками боекомплекта. Заберите 1 боеприпас.
c05	Расстрелянный рожок	1	обычный	1 боеприпас	Не совсем расстрелянный, как выяснилось. Заберите 1 боеприпас.
c06	Полевая касса	1	обычный	1 монета	Наличность полевого казначея, спрятанная в спешке. Заберите 1 монету.
c07	Кошелёк старателя	1	обычный	1 монета	Потёртый кошелёк с честно намытым. Заберите 1 монету.
c08	Расчётная книжка	1	обычный	1 монета	Ведомость выплат прежнего гарнизона. Заберите 1 монету.
c09	Мелочь из карманов	1	обычный	1 монета	Мелочь, собранная второпях перед отходом. Заберите 1 монету.
c10	Тайник казначея	1	обычный	1 монета	Небольшой тайник, оставленный на чёрный день. Заберите 1 монету.
c11	Образцы породы	1	обычный	1 обломок	Геологические образцы, ценные своей редкостью. Возьмите 1 обломок.
c12	Металлолом	1	обычный	1 обломок	Груда искорёженного металла с прежних боёв. Возьмите 1 обломок.
c13	Обломки обшивки	1	обычный	1 обломок	Обшивка сбитой техники, годная на переплавку. Возьмите 1 обломок.
c14	Осколочный контейнер	1	обычный	1 обломок	Ящик, разорванный близким разрывом. Возьмите 1 обломок.
c15	Кристальная жеода	1	хороший	1 келемий	Небольшая жеода с чистым кристаллом внутри. Возьмите 1 келемий.
c16	Огранённый образец	1	хороший	1 келемий	Кто-то уже начал огранку и бросил. Возьмите 1 келемий.
c17	Проба руды	1	хороший	1 келемий	Контрольная проба с богатой жилы. Возьмите 1 келемий.
c18	Сколотый кристалл	1	хороший	1 келемий	Скол с крупного кристалла, целый и чистый. Возьмите 1 келемий.
c19	Радиоперехват	1	хороший	1 карта задания	Обрывок перехваченной радиограммы наводит на чужие планы. Возьмите 1 карту задания.
c20	Штабная почта	1	хороший	1 карта задания	Пакет донесений из штаба с новым приказом. Возьмите 1 карту задания.
c21	Полевой архив	1	хороший	1 карта задания	Пыльные стеллажи хранят чужие планы. Возьмите 1 карту задания.
c22	Курьерская сумка	1	хороший	1 карта задания	Сумка курьера, не дошедшего до адресата. Возьмите 1 карту задания.
c23	Оружейный тайник	1	редкий	1 карта арсенала	Схрон с образцом нового вооружения. Возьмите 1 карту арсенала.
c24	Конструкторский чертёж	1	редкий	1 карта арсенала	Чертежи опытного образца, украденные с завода. Возьмите 1 карту арсенала.
c25	Пустой контейнер	1	обычный	ничего	Открытый контейнер. Подчистили раньше вас — внутри пусто.
c26	Разграбленный ящик	1	обычный	ничего	Кто-то уже здесь побывал. Внутри пусто.
c27	Сорванная пломба	1	обычный	ничего	Пломба сорвана давно, содержимое растащено. Внутри пусто.
c28	Полевая укладка	1	редкий	1 карта задания и 1 боеприпас	Укладка с приказом и боекомплектом к нему. Возьмите 1 карту задания и 1 боеприпас.
c29	Инженерный планшет	1	редкий	1 карта задания и 1 келемий	Планшет с заданием и образцом сырья к нему. Возьмите 1 карту задания и 1 келемий.
c30	Оружейный склад	1	редкий	1 монета и 1 боеприпас	Оружейка с остатками довольствия. Возьмите 1 монету и 1 боеприпас.
c31	Штабной сейф	1	редкий	2 карты задания	Сейф с целой папкой невыполненных приказов. Возьмите 2 карты задания.
c32	Взломанный сейф	1	редкий	2 монеты	Взломанный сейф с содержимым на любой вкус. Возьмите 2 монеты.
