№	Название	Природа	Условие	Награда	Утиль	Описание
n1	Подъём	состояние	Имей на поле не меньше трёх своих зданий, считая ЦУ	обломки, карты задания	+1 монета	Имей на поле не меньше трёх своих зданий, считая ЦУ, — награда обломок и карта задания. Считается и ЦУ, поэтому от подготовки до выполнения ровно две стройки.
n2	Первый боец	происшествие	В ЭТОТ ХОД найми войско любого рода, кроме вышки	обломки, карты задания	+1 боеприпас	В ЭТОТ ХОД найми войско любого рода, кроме вышки, — награда обломок и карта задания. Вышка не считается: её ЦУ собирает даром, и наймом это назвать нельзя.
n3	Патроны	состояние	Имей не меньше трёх боеприпасов	обломки, карты задания	+1 монета	Имей не меньше трёх боеприпасов — награда обломок и карта задания. Порог три, а не два: один боеприпас у тебя уже есть с подготовки.
n4	Первая сделка	происшествие	В ЭТОТ ХОД воспользуйся предложением карты сделок на рынке	обломки, карты задания	+1 боеприпас	В ЭТОТ ХОД воспользуйся предложением карты сделок на рынке — награда обломок и карта задания. Напечатанный курс не подходит: карта требует именно предложения карты сделок.
n5	Коммутация	состояние	Имей на поле запитанное здание, стоящее не на гексе с твоим ЦУ	обломки, карты задания	+1 монета	Имей на поле запитанное здание, стоящее не на гексе с твоим ЦУ, — награда обломок и карта задания. Энергия до соседнего гекса сама не дотянется: её надо туда перекинуть Сменой энергии.
n6	Выход	состояние	Имей на поле своё войско на расстоянии двух и больше гексов от гекса с твоим ЦУ	обломки, карты задания	+1 боеприпас	Имей на поле своё войско на расстоянии двух и больше гексов от гекса с твоим ЦУ — награда обломок и карта задания. Вышка неподвижна, так что выйти придётся кем-то живым.
n7	Жила	состояние	Имей не меньше трёх келемия	обломки, карты задания	+1 монета	Имей не меньше трёх келемия — награда обломок и карта задания. Келемий равен победному очку, поэтому держать его дорого, а тратить жалко.
n8	Находка	состояние	Имей у себя не меньше двух неоткрытых контейнеров	обломки, карты задания	+1 боеприпас	Имей у себя не меньше двух неоткрытых контейнеров — награда обломок и карта задания. Вскрытый контейнер сразу уходит, так что придётся терпеть и не открывать.
n9	Первый шаг	состояние	Стой хотя бы на первом шаге любого трека технологий	обломки, карты задания	+1 монета	Стой хотя бы на первом шаге любого трека технологий — награда обломок и карта задания. За действие Наука больше одного шага на трек не сделать, поэтому начинают все с одного и того же.
n10	Первый трофей	состояние	Имей в трофеях хотя бы один жетон	обломки, карты задания	+1 боеприпас	Имей в трофеях хотя бы один жетон — награда обломок и карта задания. Трофей берут только с боя, поэтому карта платит за первый настоящий выстрел.
n11	Второй заход	происшествие	В ЭТОТ ХОД получи действие с нижнего приказа своей карты приказа	обломки, карты задания	+1 монета	В ЭТОТ ХОД получи действие с нижнего приказа своей карты приказа — награда обломок и карта задания. Нижний приказ открывается не всегда, так что карту держат до подходящего раунда.
n12	В унисон	происшествие	В ЭТОТ ХОД сыграй верхом тот же приказ, что и другой игрок	обломки, карты задания	+1 боеприпас	В ЭТОТ ХОД сыграй верхом тот же приказ, что и другой игрок, — награда обломок и карта задания. Совпавший приказ не срабатывает, так что эта карта — плата за потерянное действие.
