Тип карт	Карт в наборе	Копий всего
Задания	=COUNTA('Задания'!A2:A1000)	=B2
Начальные задания	=COUNTA('Начальные задания'!A2:A1000)	=B3
Супер-задания	=COUNTA('Супер-задания'!A2:A1000)	=B4
Арсенал	=COUNTA('Арсенал'!A2:A1000)	=SUM('Арсенал'!C2:C1000)
Начальный арсенал	=COUNTA('Начальный арсенал'!A2:A1000)	=SUM('Начальный арсенал'!C2:C1000)
Супер-арсенал	=COUNTA('Супер-арсенал'!A2:A1000)	=B7
Контейнеры	=COUNTA('Контейнеры'!A2:A1000)	=SUM('Контейнеры'!C2:C1000)
Рынок	=COUNTA('Рынок'!A2:A1000)	=B9
ВСЕГО	=SUM(B2:B9)	=SUM(C2:C9)

«Копий» — сколько копий ОСНОВНОГО эффекта в колоде; жёлтые колонки заполняются вручную. У заданий копий нет: они все разные.
Источник: снимок каталога из кода (kelium.ВыгрузкаКаталога), снимок «таб».
