№	Карта	Вид карты	Утиль-эффект	Код эффекта	Параметры
b01	Ускоренный марш	обычная	Движение: два жетона, и оба бесплатно	free_action	{'action': 'movement', 'free_units': 2, 'ops': 2}
b02	Форсаж	обычная	по 1 боеприпасу за каждое своё войско на поле, не больше 4	gain_per	{'per': 'own_unit_on_field', 'ammo': 1, 'max': 4}
b03	Облегчённая броня	обычная	обменяй 1 любой ресурс на любой другой	convert	{'amount': 1, 'any': True}
b17	Тяжёлое крыло	обычная	ЩИТ: техника и авиация	shield	{'types': ['vehicle', 'aircraft'], 'all': True}
b18	Укреплённые перекрытия	обычная	перестрой 1 своё здание бесплатно	free_action	{'action': 'build', 'moves_only': True, 'free_moves': 1, 'ops': 1}
b04	Патронный ящик	обычная	3 боеприпаса	gain	{'ammo': 3}
b05	Келемиевый бак	обычная	Добыча: работает и незапитанный добытчик	free_action	{'action': 'mining', 'free_miner_moves': 1, 'ops': 2}
b06	Мобилизация	обычная	построй одно здание бесплатно	free_action	{'action': 'build', 'buildings': 1, 'free_build': True}
b07	Диспетчер энергии	обычная	улучши 1 жетон модуля за 1 келемий	gild_module	{'pay': 'kelium', 'price': 1}
b19	Трофейный сейф	обычная	обменяй 1 обломок на 2 монеты или 2 обломка на 5	exchange_table	{'from': 'debris', 'to': 'coin', 'table': [[1, 2], [2, 5]]}
b20	Аварийное питание	обычная	5 монет	gain	{'coin': 5}
b21	Маркшейдер	обычная	забери до 2 келемия у одного противника	steal_resource	{'resource': 'kelium', 'max': 2}
b08	Резервный штаб	обычная	3 карты задания	gain	{'objective_cards': 3}
b09	Двойной протокол	обычная	обнови обе открытые карты арсенала	refresh_arsenal_row	{}
b10	Параллельный контур	обычная	СПЕЦ-действий до конца хода без предела	unlimited_spec	{}
b22	Параллельные штабы	обычная	ДЕСАНТ: два войска разных родов на гекс без чужих войск	landing	{'count': 2, 'where': 'any_free_hex'}
b23	Штабная коллегия	обычная	забери карту арсенала из руки противника	steal_arsenal_card	{}
b24	Оперативный отдел	обычная	по 2 боеприпаса за каждое своё военное здание, не больше 6	gain_per	{'per': 'own_military_building', 'ammo': 2, 'max': 6}
b11	Энергосбыт	обычная	по 2 монеты за каждое своё войско на поле, не больше 8	gain_per	{'per': 'own_unit_on_field', 'coin': 2, 'max': 8}
b12	Научный подлог	обычная	противник сбрасывает карту арсенала из руки	discard_enemy_arsenal	{}
b25	Второй контур	обычная	Смена энергии без надбавок	free_action	{'action': 'energy_swap', 'no_surcharge': ['energy_swap']}
b13	Трофейный склад	обычная	за 1 боеприпас перемести два своих войска	move_unit	{'hexes': 2, 'pay_ammo': 1}
b14	Наводчик	обычная	1 боеприпас и один Бой	free_action	{'action': 'combat', 'ammo': 1, 'ops': 1}
b15	Воздушный щит	обычная	ЩИТ: авиация и вышка	shield	{'types': ['aircraft', 'tower'], 'all': True}
b16	Лёгкий взлёт	обычная	ЩИТ: пехота и авиация	shield	{'types': ['infantry', 'aircraft'], 'all': True}
b26	Разгонная полоса	обычная	ЩИТ: пехота и техника	shield	{'types': ['infantry', 'vehicle'], 'all': True}
b27	Абордаж	обычная	ЩИТ: техника и вышка	shield	{'types': ['vehicle', 'tower'], 'all': True}
b28	Обмен пленными	обычная	ЩИТ: пехота и вышка	shield	{'types': ['infantry', 'tower'], 'all': True}
b29	Десантные тропы	обычная	Рынок: обе половины активной карты	free_action	{'action': 'market', 'both_halves': True, 'ops': 2}
b30	Келемиевый дождь	обычная	2 келемия	gain	{'kelium': 2}
b31	Ядерный удар	обычная	3 монеты и 1 боеприпас	gain	{'coin': 3, 'ammo': 1}
bs1	Полевой генератор	начальная	один обмен на рынке	free_action	{'action': 'market', 'ops': 1}
bs2	Ответный залп	начальная	3 боеприпаса	gain	{'ammo': 3}
bs3	Мародёрка	начальная	2 келемия	gain	{'kelium': 2}
bs4	Штабная почта	начальная	3 карты задания	gain	{'objective_cards': 3}
bs5	Премия за голову	начальная	Стройка: каждое здание на монету дешевле	free_action	{'action': 'build', 'discount_coin': 1}
bs6	Аварийные щиты	начальная	поменяй свою карту приказа на другую из руки	swap_order_card	{}
bs7	Переформирование	начальная	Снаряжение: одно здание даёт и войско, и боеприпас	free_action	{'action': 'assembly', 'dual_output': 1, 'buildings': 1}
bs8	Вольная застройка	начальная	одна строительная операция	free_action	{'action': 'build', 'ops': 1}
v01	Воздушное крыло	обычная	4 монеты	gain	{'coin': 4}
v02	Танковый корпус	обычная	3 боеприпаса	gain	{'ammo': 3}
v03	Сторожевая сеть	обычная	Добыча двумя добытчиками	free_action	{'action': 'mining', 'ops': 2}
v04	Второй эшелон	обычная	2 карты задания	gain	{'objective_cards': 2}
v05	Диверсионная группа	обычная	верни на маркет сброшенную карту сделок на рынке	market_card_from_discard	{}
v06	Военная доктрина	обычная	забери жетон первого игрока и 1 монету у его владельца	grab_first_player	{'steal_coin': 1}
