№	Карта	Утиль-эффект	Код эффекта	Параметры
o03	Опорный пункт	СВОБОДНОЕ ДВИЖЕНИЕ
o07	Засада	СВОБОДНЫЙ БОЙ
o11	Передовая база	СВОБОДНОЕ ДВИЖЕНИЕ
o12	Наглая стройка	ЩИТ: пехота или техника
o14	Осадный лагерь	ЩИТ: техника или авиация
o17	Штаб на передовой	СНАРЯЖЕНИЕ ОДНИМ ЗДАНИЕМ
o21	Первая кровь	СНАРЯЖЕНИЕ ДВУМЯ ЗДАНИЯМИ
o22	Зачистка	СВОБОДНАЯ НАУКА
o23	Подранки	+1 К СКОРОСТИ ОДНОГО РОДА ДО КОНЦА ХОДА
o45	Пристрелка	ЩИТ: пехота или авиация
o25	Осада	СНАРЯЖЕНИЕ ОДНИМ ЗДАНИЕМ
o26	Блицкриг	СВОБОДНЫЙ БОЙ
o27	На чужом дворе	СНАРЯЖЕНИЕ ДВУМЯ ЗДАНИЯМИ
o28	Клещи	СВОБОДНОЕ ДВИЖЕНИЕ
o29	Пустой двор	СНАРЯЖЕНИЕ ДВУМЯ ЗДАНИЯМИ
o31	Господство в небе	+1 К СКОРОСТИ ОДНОГО РОДА ДО КОНЦА ХОДА
o41	Ответный удар	2 боеприпаса
o42	Разорение	2 монеты
o43	Охота на сильного	СВОБОДНЫЙ БОЙ
o46	Трофейный обоз	СВОБОДНАЯ НАУКА
o01	Полный залп	ДЕСАНТ: размести до 2 войск разных родов в своей зоне стройки
o02	Конвейер	СМЕНА ЭНЕРГИИ ИЛИ СМЕНА МОДУЛЕЙ
o04	Жила	СВОБОДНОЕ ДВИЖЕНИЕ
o05	Выработка	СВОБОДНАЯ НАУКА
o08	Разведка недр	КОНВЕРСИЯ: 1 келемий -> 1 обломок
o15	Стройбум	СВОБОДНЫЙ БОЙ
o16	Переезд	СМЕНА ЭНЕРГИИ ИЛИ СМЕНА МОДУЛЕЙ
o18	Полная нагрузка	+1 К СКОРОСТИ ОДНОГО РОДА ДО КОНЦА ХОДА
o19	Военпром	КОНВЕРСИЯ: 1 келемий -> 1 боеприпас
o20	Коммутация	СМЕНА ЭНЕРГИИ ИЛИ СМЕНА МОДУЛЕЙ
o33	Биржа	СВОБОДНОЕ ДВИЖЕНИЕ
o34	Научный отдел	СВОБОДНЫЙ МАРКЕТ
o36	Научный рывок	ЩИТ: авиация или вышка
o39	Сдача	КОНВЕРСИЯ: 1 келемий -> 1 обломок
o40	Ва-банк	СВОБОДНАЯ НАУКА
o06	Отгрузка	СВОБОДНЫЙ МАРКЕТ
o10	Разоружение	СВОБОДНОЕ ДВИЖЕНИЕ
o50	Линия фронта	СВОБОДНОЕ ДВИЖЕНИЕ
o53	Промышленный узел	ОДНА СТРОИТЕЛЬНАЯ ОПЕРАЦИЯ
o54	Заслон	РЕМОНТ ГЕКСА
n1	Подъём	+1 монета
n2	Первый боец	+1 боеприпас
n3	Патроны	+1 монета
n4	Первая сделка	+1 боеприпас
n5	Коммутация	+1 монета
n6	Выход	+1 боеприпас
n7	Жила	+1 монета
n8	Находка	+1 боеприпас
n9	Первый шаг	+1 монета
n10	Первый трофей	+1 боеприпас
n11	Второй заход	+1 монета
n12	В унисон	+1 боеприпас
o55	Периметр	ОДНА СТРОИТЕЛЬНАЯ ОПЕРАЦИЯ
o56	Прорыв	СВОБОДНОЕ ДВИЖЕНИЕ
o57	Дорога между дворами	СВОБОДНАЯ ДОБЫЧА
o58	Живая цепь	+1 К СКОРОСТИ ОДНОГО РОДА ДО КОНЦА ХОДА
o59	Промышленная связка	СМЕНА ЭНЕРГИИ ИЛИ СМЕНА МОДУЛЕЙ
o60	Клин	ЩИТ: пехота или техника
o61	Широкий фронт	ОДНА СТРОИТЕЛЬНАЯ ОПЕРАЦИЯ
o62	Обход	СВОБОДНАЯ ДОБЫЧА
