№	Название	Природа	Условие	Усиление	Награда	Усиленная награда	Утиль	Описание
o03	Опорный пункт	состояние	Имей на поле две свои вышки на разных гексах, и ни одна из них не стоит на гексе с твоим ЦУ	Хотя бы одна из этих вышек стоит на гексе, где есть жетоны противника	3 боеприпасы	карты задания, жетон модуля атаки	СВОБОДНОЕ ДВИЖЕНИЕ	Имей на поле две свои вышки на разных гексах, и ни одна из них не стоит на гексе с твоим ЦУ, — награда 3 боеприпаса. Если хотя бы одна из этих вышек стоит на гексе, где есть жетоны противника, условие усилено: жетон модуля атаки и карта задания. Вышка не двигается вовсе, поэтому опорный пункт выбирают один раз и навсегда.
o07	Засада	состояние	Имей своё войско внутри своего военного здания того же рода, стоящего на гексе, соседнем с гексом, где есть жетоны противника	Держи так сразу два своих войска	3 боеприпасы	карты задания, карта арсенала	СВОБОДНЫЙ БОЙ	Имей своё войско внутри своего военного здания того же рода, стоящего на гексе, соседнем с гексом, где есть жетоны противника, — награда 3 боеприпаса. Держи так сразу два войска, и условие усилено: карта арсенала и карта задания. Гарнизон в здании не виден до первого выстрела.
o11	Передовая база	происшествие	В ЭТОТ ХОД построй своё здание на гексе, соседнем с гексом, где есть войска противника	В ЭТОТ ХОД построй его на гексе, соседнем с гексом, где есть здание противника	3 боеприпасы, карта арсенала	2 обломки	СВОБОДНОЕ ДВИЖЕНИЕ	В ЭТОТ ХОД построй своё здание на гексе, соседнем с гексом, где есть войска противника, — награда 3 боеприпаса и карта арсенала. Построй его на гексе, соседнем с гексом, где есть здание противника, и условие усилено: 2 обломка. Передовая база строится под огнём — потому и платит.
o12	Наглая стройка	происшествие	В ЭТОТ ХОД построй своё здание на гексе, где стоит войско противника	В ЭТОТ ХОД сделай это на гексе, где стоят два войска противника	4 монеты	карты задания, жетон модуля атаки	ЩИТ: пехота или техника	В ЭТОТ ХОД построй своё здание на гексе, где стоит войско противника, — награда 4 монеты. Сделай это на гексе, где стоят два войска противника, и условие усилено: жетон модуля атаки и карта задания. Стройка под чужим стволом — заявка, а не расчёт.
o14	Осадный лагерь	состояние	Имей свои здания на двух гексах, соседних с одним и тем же гексом, где стоит здание противника	Замкни это кольцо с трёх сторон	3 боеприпасы	2 обломки, жетон модуля атаки	ЩИТ: техника или авиация	Имей свои здания на двух гексах, соседних с одним и тем же гексом, где стоит здание противника, — награда 3 боеприпаса. Замкни кольцо с трёх сторон, и условие усилено: жетон модуля атаки и 2 обломка. Осада стоит дорого, поэтому и платит крупно.
o17	Штаб на передовой	происшествие	В ЭТОТ ХОД построй или перенеси своё ЦУ так, чтобы от него до гекса с ЦУ противника осталось не больше 2 гексов	В ЭТОТ ХОД поставь его так, чтобы оно примыкало к зданию противника	3 монеты	2 обломки, карта арсенала НА ВЫБОР из открытых	СНАРЯЖЕНИЕ ОДНИМ ЗДАНИЕМ	В ЭТОТ ХОД построй или перенеси своё ЦУ так, чтобы от него до гекса с ЦУ противника осталось не больше 2 гексов, — награда 3 монеты. Поставь его так, чтобы оно примыкало к зданию противника, и условие усилено: 2 обломка и карта арсенала на выбор из открытых. Штаб, придвинутый к чужому, экономит каждое перемещение.
o21	Первая кровь	происшествие	В ЭТОТ ХОД уничтожь два жетона противника	В ЭТОТ ХОД у одного из уничтоженных прочность была 2 или больше	4 монеты	карты задания, жетон модуля атаки	СНАРЯЖЕНИЕ ДВУМЯ ЗДАНИЯМИ	В ЭТОТ ХОД уничтожь два жетона противника — награда 4 монеты. Если у одного из них прочность была 2 или больше, условие усилено: жетон модуля атаки и карта задания. Первая кровь считается по двум, а не по одному.
o22	Зачистка	жертва	Имей в трофеях здание противника и верни его владельцу	{'predicate': 'sacrifice_enhanced', 'params': {'resource': 'trophies', 'amount': 2}}	3 монеты, 2 боеприпасы	карты задания	СВОБОДНАЯ НАУКА	Имей в трофеях здание противника и верни его владельцу — награда 3 монеты и 2 боеприпаса. Верни владельцу ещё один трофейный жетон, и условие усилено: карта задания. Отданный трофей очков не приносит: за это и платят.
o23	Подранки	происшествие	В ЭТОТ ХОД нанеси урон двум разным жетонам противника и не уничтожь ни одного	В ЭТОТ ХОД рань так три разных жетона противника	3 боеприпасы	2 обломки, карта арсенала НА ВЫБОР из открытых	+1 К СКОРОСТИ ОДНОГО РОДА ДО КОНЦА ХОДА	В ЭТОТ ХОД нанеси урон двум разным жетонам противника — войскам, зданиям, как выйдет — и не уничтожь ни одного. Награда: 3 боеприпаса. Рань так три жетона, и условие усилено: 2 обломка и карта арсенала на выбор из открытых. Подранков добивают позже и дешевле.
o45	Пристрелка	происшествие	В ЭТОТ ХОД нанеси урон двум разным зданиям противника	В ЭТОТ ХОД достань три разных здания противника	3 монеты	2 обломки, карты задания	ЩИТ: пехота или авиация	В ЭТОТ ХОД нанеси урон двум разным зданиям противника — награда 3 монеты. Достань три разных здания, и условие усилено: 2 обломка и карта задания. Пристрелка не сносит стену, но показывает, где она тонкая.
